原始词	标准词
肚子就回咕咕的响	肠鸣音
超过了38.5度	中等度热
喉咙似乎有点发炎	咽喉炎
烧到38度2	低热
喉咙会红肿，会有一点白色点	咽喉炎
嗓子红肿充血	咽喉炎
咽喉部位敏感	咽喉不适
上呼吸道炎症	上呼吸道感染
呼噜呼噜的痰音	痰鸣音
没什么精神	精神软
手脚凉凉	四肢厥冷
咕噜咕噜	痰鸣音
体温超过38度5	发热
体温在38度5以下	中等度热
淋巴结是什么时候起来的	淋巴结肿大
嗓子有炎症	咽喉炎
淋巴结增大	淋巴结肿大
颅内高压	颅内压升高
饮食也差	食欲不振
肠胃不太好	胃肠功能紊乱
泄	腹泻
大便7，8次	腹泻
泄的大部分是水	水样便
小便还多	尿量增多
小便比平常少	尿量减少
痰咕噜咕噜的响	痰鸣音
吐出痰	痰
胃肠不运动	胃肠功能紊乱
声嘶	声音嘶哑
声音哑了	声音嘶哑
喉咙有点红红	咽喉炎
有奶瓣，比较稀	稀便
三十八九度	中等度热
体温38	低热
幽门肥厚	幽门梗阻
拉，鸡蛋花	蛋花汤样便
胀	腹胀
上积下漏	积食
喝奶喝的不多	食欲不振
胃口没以前好	食欲不振
耳朵发炎	中耳炎
大便拉稀	稀便
大便颜色黄发白	陶土便
少量黏条	大便粘液
大便干硬	大便干燥
肠蠕动减慢	胃肠功能紊乱
肚子有点硬	腹胀
不自主排便	便秘
肠阻梗	肠梗阻
蛋花样的便便	水样便
饮食差	食欲不振
都在睡觉	嗜睡
肚子硬帮帮的	腹胀
没有原来吃的多	食欲不振
睡不长时间	睡眠障碍
拉的比之前稀	稀便
好几天拉一次	便秘
拉的稀了也频繁了	稀便
屎会发绿	绿便
体温没有超过38.5度	低热
怕冷手脚	四肢厥冷
拉稠的（没消化的东西）	糊状便
3,4天拉一次	便秘
拉的很多	腹泻
我不想吃东西	食欲不振
拉的次数多！最后还有点沫子，还有水	腹泻
鼻子也堵	鼻塞
鼻泪管堵塞	鼻塞
泪囊管堵塞	泪囊炎
比赛	鼻塞
鼻子一样堵	鼻塞
小手都有点烫	发热
吃奶少了	食欲不振
体温超过38°以上	中等度热
水特别多	水样便
浑身发软	乏力
瘦了很多	体重减轻
身体虚脱	乏力
没吃饭了	食欲不振
虚脱的身体状态	乏力
浑身软弱无力	乏力
沒太有精神	精神软
五六天没吃饭	食欲不振
相互传染	交叉感染
拉粑粑一天4到5次	腹泻
拉巴巴	腹泻
拉绿巴	绿便
拉绿巴巴	绿便
没有消化	消化不良
肠胃性感冒	肠胃型感冒
小便多	尿量增多
便便转变成黄色蛋花汤样	蛋花汤样便
吃奶还行，比之前少	食欲不振
嗓子有点痰	痰
烧37℃6	低热
鸡蛋花样	蛋花汤样便
大便成水水状	水样便
消化系统紊乱	胃肠功能紊乱
气也喘不上来	气喘
感染急性胃肠炎	胃肠道炎症
拉了五次了今天	腹泻
拉的都是那种颗粒状的水还挺多	水样便
容易虚脱	精神软
眼睛红	眼睛发红
红	发红
三天没吃东西	食欲不振
3天没有吃东西	食欲不振
拉了十多次	腹泻
大便水样，有点犯白	水样便
拉的次数里量多	腹泻
大便水样	水样便
大便水样，次数多	水样便
啼哭	哭闹
易惊吓	惊厥
吓到	惊厥
嗓子里，滋啦滋啦响	痰鸣音
嗓子滋啦滋啦响	痰鸣音
影响呼吸	呼吸困难
大便有点酸	大便酸臭
舌苔有一层白白	舌苔发白
大便也比较臭	大便酸臭
吃奶总是吃吃停停	食欲不振
吃奶，吃吃停停	食欲不振
消化系统不好	消化不良
肚涨	腹胀
38.5以下	低热
37.5左右	低热
大便也一天四五次	腹泻
副业	腹泻
拉的太绿了	绿便
吃饭也不好	食欲不振
不愿意吃东西	食欲不振
小儿支气管炎	支气管炎
嗓子痛	咽喉痛
吃不下去	食欲不振
精神不佳	精神软
大便从来没有酸酸的味道	大便酸臭
大便就是有酸臭味儿	大便酸臭
身体温度是39度2	高热
低烧37°多	低热
拉的是黑稀水	稀便
昨天半夜拉了两次	腹泻
平喘	气喘
喘息型气管炎	气管炎
过敏型气管炎	过敏性支气管炎
体温过低	低温
35.5这个体温	低温
代谢降低	免疫力低下
高烧一次39.5	高热
高烧39.5	高热
呼吸道感染	上呼吸道感染
有时候是水	水样便
有时是蛋花汤	蛋花汤样便
有时候稀糊	稀便
每日排便5-6次	腹泻
大便性状变稀	稀便
拉了一星期了	腹泻
肚子还咕噜	肠鸣音
拉六七回	腹泻
呕奶	呕吐
全呕	呕吐
大便成蛋花状的	蛋花汤样便
大便有些粘液	大便粘液
大便怎么会有成型的条状	大便干燥
两三天一次大便	便秘
过敏型湿疹	过敏性皮疹
拉的次数多	腹泻
睡觉不好	睡眠障碍
没有拉大便	大便干燥
四到五次	腹泻
两天不啦粑粑	便秘
舌苔厚白	舌苔发白
放屁屁	屁
哭一哭	哭闹
糊便	糊状便
晚上有时屎正常黄色，白天绿	绿便
整天睡	嗜睡
大便还是很稀	稀便
精神也欠街	精神软
肚子还有点涨	腹胀
肚子还是不舒服	腹部不适
四天没有大便	便秘
黄色大便，不干不希	大便干燥
肠道发炎	肠炎
肚子还胀	腹胀
一直不大便	便秘
大便稀，有泡沫	稀便
肚子咕咕响	肠鸣音
消化特别不好	消化不良
奶伴	稀便
流眼泪	流泪
留北京	鼻流涕
大便的开头淡绿色	绿便
一天不拉	便秘
拉很多次	腹泻
浠水样便	水样便
奶瓣儿	稀便
肚子里面有气	腹胀
一直吃饭不多	食欲不振
吃饭都不是特别的好	食欲不振
体质不是特别的好	免疫力低下
偏食挑食	食欲不振
大便很丑	大便酸臭
拉两次也不是很稀	稀便
饭也不怎么吃了	食欲不振
不爱吃东西了	食欲不振
肠道炎症	胃肠道炎症
大便除了绿色	绿便
绿色的	绿便
绿色拉大便	绿便
排便情况十分不稳定	腹泻
含泡沫	泡沫便
含奶瓣多	稀便
大便颜色改变例如发绿	绿便
大便量都是很多的、一大摊子似的	稀便
大便次数非常多	腹泻
大便量又非常大	稀便
手足冰凉	四肢厥冷
全身发抖	抽搐
喷射性	喷射性呕吐
吃多了吐	呕吐
胃难受	腹部不适
流清鼻涕水	鼻流涕
结核	肺结核
流汗	出汗
脾胃虚	脾胃功能不调
甲型，乙型流感	感冒
烧三十九度多	高热
38。238.5	中等度热
影响晚上休息	睡眠障碍
发烧，大约39度	高热
精神不振	精神软
链球菌感染	细菌感染
喉咙有点充血	咽喉炎
抗链球菌o升高	细菌感染
呕吐是喷射状	喷射性呕吐
38，5以上	中等度热
喷射呕吐	喷射性呕吐
鼻子呼呼	粗糙呼吸音
恼火	烦躁
挺红的	发红
吃得不多	食欲不振
哭时无泪	流泪
发肿	红肿
肚子哪个部位痛	腹痛
肚孑咕噜咕噜	肠鸣音
肚脐疼	腹痛
肚孑有点胀	腹胀
便便增多	腹泻
咕噜咕噜的	痰鸣音
气管有炎	气管炎
不怎么尿	尿量减少
大便有点绿	绿便
一天没吃多少	食欲不振
大便可以是绿色	绿便
糊状水样	水样便
潜血	血便
吱吱声音	痰鸣音
喘气的粗	粗糙呼吸音
喘气就粗	粗糙呼吸音
肚子不疼	腹痛
嗓子里面有吼吼的	啰音
最好体温38.5	中等度热
手冷	四肢厥冷
粪便只是软，会稀	稀便
屎，有时会有点希，但没有水	稀便
几个月体重不长	体重减轻
粪便比较稀软	稀便
粪便稀软	稀便
脾胃虚弱	脾胃功能不调
可瘦	咳嗽
影响睡眠	睡眠障碍
没怎么活动	精神软
没什么力气	乏力
气管有没有炎性	气管炎
拉的次数多，呈水样	水样便
大便发白	陶土便
胃口不太好	食欲不振
大便颜色变白	大便性状异常
病毒和细菌感染	病毒感染
大便3到5次	腹泻
便中是有些红色的东西然后颜色偏绿	绿便
肺部的炎症	肺炎
上呼吸道的感染	上呼吸道感染
拉的次数太多	腹泻
一天拉了十六次	腹泻
手脚总是凉凉	四肢厥冷
睡眠不怎么好	睡眠障碍
大便带有血丝	血便
大便粘液，泡沫，带血	大便粘液
肠道有感染	感染
有胀气	腹胀
抵抗力有的差	免疫力低下
一天大便四次	腹泻
牛奶过敏	过敏
普通感冒	感冒
嗓子还有点疼	咽喉痛
留脓涕	鼻流涕
流脓涕	鼻流涕
拉粑粑的水分多	水样便
胃肠道功能	胃肠功能紊乱
绿色的臭	绿便
温度超过38.5℃	高热
鼻腔喉咙有分泌物	咽喉炎
嗓子肿	咽喉炎
扁挑体有肿	扁桃体炎
饭也不吃	食欲不振
胃肠功能发育不健全	胃肠功能紊乱
超过37.2	低热
便便有酸臭	大便酸臭
粪便还是有些水	水样便
肚子老咕噜咕噜	肠鸣音
留清鼻涕	鼻流涕
精神反应会差	精神软
超过38度	低热
感染了支气管	支气管炎
体温37到37.5之间	低热
大便拉不出来	便秘
大便很干	大便干燥
有褐色的像血	血便
病菌感染	细菌感染
褐色像血	血便
37.5--到38	低热
粪便颜色深	血便
体温现在38℃	低热
水一样流	水样便
口气	口臭
鼻子阻不阻	鼻塞
大便查出白细胞	细菌感染
粑粑比较干，没那么稀	大便干燥
消化道感染	细菌感染
大便里有白细胞	细菌感染
大便还是比较干	大便干燥
大便就比较稀	稀便
大便已经变得很干	大便干燥
大便变干	大便干燥
大便也稀	稀便
大便很稀，悜稀水样	稀便
大便会很绿	绿便
奶水不太够	乳汁异常
奶般	稀便
便便，有血丝	便隐血
便中带血有粘液	血便
便中没有黏液	大便粘液
便中还有血丝	便隐血
消化的不好	消化不良
发绿色	绿便
颜色绿	绿便
消化确实不好	消化不良
眯一会就醒	睡眠障碍
白天基本不睡	睡眠障碍
烫到	皮肤不完整
拉得稀	稀便
吃的不多	食欲不振
小脚总是凉凉的	四肢厥冷
喉咙有点紧紧	咽喉不适
不太活泼	精神软
出了汗	出汗
嗓子呼噜呼噜的声音	痰鸣音
全吐出来了	呕吐
烧了38.5	发热
体温在38.5度以下	低热
发烧37.5以下	发热
总想睡觉	嗜睡
进食比平时明显少	食欲不振
老睡	嗜睡
老是睡	嗜睡
精神也不好	精神软
浓痰	痰
睡觉比较不安稳	睡眠障碍
脚是冰的	四肢厥冷
喉咙不红	咽喉炎
呕痰	咳痰
扁导体	扁桃体炎
39.4度	高热
血小板增多症	血小板增高症
血小板增高	血小板增高症
血小板高	血小板增高症
血小板总数增高	血小板增高症
血小板增多	血小板增高症
睡眠今天晚上不怎么好	睡眠障碍
爱闹	哭闹
喉咙系上的白点	溃疡
烦吵	烦躁
左眼下方起了个白点	溃疡
低烧反复在三十七度多和三十八度五六	低热
全身红正	红肿
混合感染	感染
最高39	中等度热
嘴唇上长包	疱疹
喉咙里呼噜呼噜	痰鸣音
呼吸很重	粗呼吸音
痒感	痒
疱疹病毒感染	病毒感染
淡	痰
38°	低热
呼吸重	粗呼吸音
吃的东西不吸收	消化不良
大便一直都偏稀，但不是水样	稀便
肚子经常咕咕叫	肠鸣音
绿水有奶伴	稀便
尿量没有以前多	尿量减少
肠道菌群失调肠蠕动快	胃肠功能紊乱
拉的会比较水	水样便
拉的比这个稀	稀便
粪便有点水	水样便
排便次数多	腹泻
六七天拉一次	便秘
肛温只有37.7没上过38	低热
大便还是有粘液	大便粘液
奶量下降了	食欲不振
大便图片是看粘液很多	大便粘液
有不消化的东西	消化不良
有粘液	大便粘液
中毒性，脑病	中毒性脑病
免疫功能短时间的下降	免疫力低下
底烧	低热
心跳过快	心率增快
肺出血	出血点
心跳加快	心率增快
鸡蛋牛奶过敏	过敏
头就有点热	发热
37,3	低热
粘液便	大便粘液
血浓状	脓血便
外肠道感染	感染
果冻样	糊状便
拉了七八次拉	腹泻
肚子有点涨	腹胀
大便就会一起出来，很稀	稀便
鼻子这几天早上起来也不通气	鼻塞
体温37.4杜	低热
胃肠道疾病和消化道疾病	胃肠道炎症
体温一直不降反升	发热
体温继续升高	发热
大便异常	稀便
奶瓣颗粒大	稀便
体温还高	发热
体温37.2	低热
古个包	肿块
嘴唇脸都乌紫	口唇发绀
呕吐物进入气管	气管支气管异物
呼吸暂停	呼吸困难
淌鼻涕	鼻流涕
打冷战	寒战
手脚冷	四肢厥冷
三十八九	中等度热
心跳很快	心率增快
心跳会加快	心率增快
脑袋还是烫	发热
扁桃腺发炎	扁桃体炎
扁桃体有没有红肿	扁桃体炎
脓液	脓肿
酸臭味	大便酸臭
尿量感觉比平时少	尿量减少
扁桃体有点红	红肿
蛋花状大便	水样便
秋季性腹泻	腹泻
发烧不超过38.5	中等度热
脱岗	脱肛
便便是酸臭	大便酸臭
一天拉两三次，但是都是稀的，而且酸臭	稀便
肚子会咕噜咕噜	肠鸣音
支气管有炎症	支气管炎
嗓子里有呼噜呼噜的声音	痰鸣音
里急后重感	大便性状异常
舌苔特别厚	舌苔厚黄
拉了5天	腹泻
精神有时早上好下午不好	精神软
精神还是有不好的	精神软
粪便会像蛋花那样	蛋花汤样便
蛋花样的便	蛋花汤样便
消化也不好	消化不良
肚子会胀	腹胀
大便感觉会带血	血便
舌头边长了个小疙瘩	口腔溃疡
拉的很水	水样便
香蕉便	大便性状异常
有泡沫	泡沫便
大便的次数是比较多	腹泻
胃肠道没有发育好	胃肠功能紊乱
胃肠道没发育好	胃肠功能紊乱
一天拉的次数多	腹泻
起皱	皮肤弹性差
声音开始有些嘶哑	声音嘶哑
声音出现嘶哑	声音嘶哑
就晚上咳	咳嗽
鼻涕有一点	鼻流涕
每天都好几次粑粑	腹泻
感染人造病毒	轮状病毒感染
纶状病毒	轮状病毒感染
感染这种病毒	轮状病毒感染
感染了这个病毒	轮状病毒感染
没弹性	皮肤弹性差
没眼泪	眼睛分泌物异常
肚子有弹性，就是有点粗糙	皮肤干燥
手臂不干	皮肤干燥
脚干	皮肤干燥
身上热	发热
肺部纹理增多	肺纹理增多
呼吸道炎症	炎症
有痰	痰
咳嗦	咳嗽
过敏史	过敏
肺部和气管有没有炎症	支气管肺炎
大便会奶瓣	稀便
拉臭次数多	腹泻
边喝边拉	腹泻
糊状的大便	糊状便
粘液样	大便粘液
嗓子里疼痛	咽喉不适
怕冷	畏寒
手脚冰冷	四肢厥冷
脸色苍白	面色苍白
腹污	腹泻
痰喘	痰
拉的比较希	稀便
拉了很多	腹泻
没有胃口	食欲不振
胃肠道功能紊乱	胃肠功能紊乱
亚	嗓子沙哑
大便偏绿	绿便
鼻子老是塞住	鼻塞
抵抗力也不好	免疫力低下
拉的跟粥一样	粥样便
烧，38.5左右	中等度热
肚子疼不疼	腹痛
晚上老睡不稳	睡眠障碍
睡不好觉	睡眠障碍
喉咙有点呼哧呼哧的声音	痰鸣音
喉咙好像有痰呼哧呼哧	痰鸣音
睡觉还被憋醒	喘憋
呼哧	痰鸣音
体温36.2度左右	中等度热
大便是蛋花状	蛋花汤样便
体温在37.5°以下	低热
39.6	高热
发烧39.6	高热
退	退热
鼻腔深处有分泌物	鼻流涕
呼噜呼噜声	痰鸣音
痰声音	痰鸣音
打饱嗝	呃逆
小便感觉有点偏黄	尿黄
精神状态变差	精神软
嗓子不是很红	咽喉炎
腋下37.2	低热
鼻粘膜水肿	水肿
便几次每次都有粘液	大便粘液
精神可能差一点	精神软
晚上没怎么睡	睡眠障碍
鼻子有时候呼呼的不通气	鼻塞
干恶	干呕
肺部有杂音	啰音
奶水偶尔有豆渣样	乳汁异常
胃浅贲门口松弛	胃肠功能紊乱
肚子咕噜噜响	肠鸣音
肚子硬硬的	腹部不适
肚子都是硬的	腹部不适
口腔好像有些红肿	红肿
嗓子痒	咽部不适
支气管肺炎炎	支气管肺炎
拉的跟水似	水样便
大便潜血阳性	便隐血
大便潜血弱阳性	便隐血
功能紊乱	胃肠功能紊乱
嗓子有点炎症	咽喉炎
肺上面炎症	炎症
反复呼吸道感染	呼吸道感染
拉了二次都是绿色的	绿便
糊糊	稀便
大便会比较稀	稀便
有酸味	大便酸臭
肺部没有罗音	啰音
睡觉咕噜咕噜	痰鸣音
支原体或者衣原体感染	支原体感染
病毒性肺炎	肺炎
睡觉有时睡的好，有时不行	睡眠障碍
鼻子呼噜呼噜	粗糙呼吸音
张嘴	嘴呼吸
嘴巴里面有溃疡	口腔溃疡
疙瘩	皮疹
痒痒	痒
脍	脓肿
痱子	皮疹
不爱吃东西	食欲不振
肠道产气增多	肠管胀气
晚上咳嗽了好几回	咳嗽
嗓子有些炎症	咽喉炎
嗓子不舒服	咽喉不适
慢性肠炎	肠炎
菌群失调	胃肠功能紊乱
大便带有咙鼻颜色带有点绿色	绿便
慢性腹泻	腹泻
闹肚子	腹泻
肠胃有毛病	胃肠道炎症
胃肠毛病	胃肠道炎症
体温偏低	低温
冷汗	出汗
奶也吃得不好	食欲不振
吃奶少	食欲不振
大便黑	黑便
体温也偏低	低温
喉咙痒痒的	咽喉不适
喉咙痒	咽部不适
轻微炎症	炎症
持续咳嗽	咳嗽
过敏性的咳嗽	过敏性咳嗽
局部的炎症，水肿	咽喉炎
不是拉肚子那种稀的	稀便
大便有点干	大便干燥
嗓子有些充血	咽喉炎
小便也不太多	尿量减少
蛋花汤便便	蛋花汤样便
嗓子感觉呼噜呼噜	痰鸣音
呼吸声音大	粗呼吸音
大便里面带水	水样便
大便不稀	稀便
大便次数多变稀	稀便
大便次数比较多，超过五次	腹泻
大便次数不多，不变稀	稀便
超过三十七点三	低热
37度3	低热
大便了，是稀的	稀便
拉过一次肚子	腹泻
又酸又臭	大便酸臭
水分多	稀便
粥样的	粥样便
中度贫血	贫血
呼吸声音有点大	粗糙呼吸音
乳汁成分的变化	乳汁异常
大便当中粘液	大便粘液
肠蠕动的声音	肠鸣音
感染细菌	细菌感染
老醒	睡眠障碍
泡沫大便	泡沫便
呼吸有些粗	粗糙呼吸音
影响宝宝发育	生长发育异常
影响发育	生长发育异常
影响饮食和睡眠	食欲不振
睡眠也不踏实	睡眠障碍
刺激性干咳	干咳
流青鼻涕	鼻流涕
传染	交叉感染
细湿性啰音	啰音
屁眼都红	肛门红肿
拉的就稀水，还青绿	水样便
拉有次挺多	腹泻
两次干	大便干燥
拉屎屁眼疼	肛门疼痛
每天拉10次左右	腹泻
粑粑里有西水	水样便
拉了10多天	腹泻
拉那么西	稀便
拉的黄水	水样便
气泡奶瓣	稀便
烧过一次	发热
嗓子有滋滋响声	痰鸣音
拉了两次黄水	水样便
抵抗力下降	免疫力低下
37°6	低热
咳嗽痰	咳痰
38°5	中等度热
细菌性的炎症	炎症
肚子都痛	腹痛
大便了。很干	大便干燥
瘦	体重减轻
39度以上	高热
烧到39度以上	高热
有点发抖	抽搐
发抖	抽搐
间质性的肺炎	肺炎
起热39度	高热
气味有些酸	大便酸臭
这两天有四次或者五次	腹泻
一天有五六次左右	腹泻
有跟没满月气味一样	大便酸臭
臭味	大便酸臭
大便有一点点溪	稀便
拉的是绿色的一坨一坨的正常便便	绿便
不消化的大便	消化不良
拉的还是很好的便便，就是绿色	绿便
胃肠道功能受损	胃肠功能紊乱
消化能力下降	消化不良
不消化吸收	消化不良
大便不算太稀	稀便
拉绿色便便	绿便
拉绿色大便	绿便
拉绿色	绿便
不完全消化吸收	消化不良
拉绿色便	绿便
胃肠出血	消化道出血
大便带红色	血便
发黑、深褐色的	黑便
出血的发黑的大便	黑便
感冒引起的支气管炎	支气管炎
睡不实	睡眠障碍
呼吸不是很顺畅	鼻塞
呼吸不顺畅	鼻塞
两个鼻子不通畅	鼻塞
一天四五次	腹泻
水多	水样便
舌头也变紫色了	杨梅舌
舌头变紫	杨梅舌
舌头发紫	杨梅舌
舌苔好发白	舌苔发白
嘴唇有没有发紫	口唇发绀
嘴唇不发紫	口唇发绀
体温不固定	发热
有时候37.4左右有时36.7左右	低热
黄色粘稠的	鼻流涕
大便全是稀水	稀便
憋醒	喘憋
吐点	呕吐
37.2度以上	发热
刚才三次	腹泻
睡眠时间长	嗜睡
睡十好几个小时	嗜睡
拉的特别稀	腹泻
体温是三十八变度四	中等度热
大便颜色有时候是糊状的	糊状便
比较脓酬和有点稀	稀便
睡觉易惊	睡眠障碍
手超冰凉	四肢厥冷
手好冰	四肢厥冷
拉的便便稀	稀便
口气臭	口臭
脸色黄	皮肤黄
黄	黄疸
肚里有虫	寄生虫感染
面色光瘦	皮肤黄
大便力拉出来虫子	寄生虫感染
37度5	低热
黄色的稀便	稀便
嗓子也没有红肿	咽喉炎
喘气呼呼的	粗呼吸音
嗓子呼噜响	痰鸣音
漾了两次奶	呕吐
嘴里有泡沫	口吐白沫
鼻涕水	鼻流涕
38、5	中等度热
鼻音重	鼻塞
睡不安稳	睡眠障碍
不怎么愿意喝奶	食欲不振
拉水样	水样便
黏液样大便	大便粘液
四肢手脚热	发热
体温超过37.5	低热
几乎不吃东西	食欲不振
咳嗽次数少了	咳嗽
咳的有痰	咳痰
咳嗽大概10	咳嗽
肚子不涨	腹胀
胃肠功能也比较差	胃肠功能紊乱
先心	心脏病
大便有不消化的颗粒	消化不良
屁股红	肛门红肿
隐血	便隐血
精神也不会好	精神软
大便隐血	便隐血
肠道有点儿出血	消化道出血
汗水	出汗
头枕部有脱发	枕秃
没有脱发	枕秃
情绪就没以前那么高	精神软
大便也不是特别稀比平时稀点	稀便
大便有没有粘液	大便粘液
口唇发干	口唇干燥
口周青紫	口周发青
大便是绿色	绿便
也比之前瘦了	体重减轻
在家还瘦了	体重减轻
睡觉惊睡的也少	睡眠障碍
宝宝睡觉惊醒，睡的不多	睡眠障碍
缺钙或锌	缺钙
是绿色的	绿便
是绿的	绿便
大便次数超过三次	腹泻
腹腔淋巴肿大	淋巴结肿大
大便，稀	稀便
肠黏膜造成损伤	肠粘膜受损
没抵抗力	免疫力低下
没脾脏	器官异常
脾破裂	器官异常
发烧三十八度	发热
抽	抽搐
痰声	痰鸣音
浮肿	水肿
鼻涕黄	鼻流涕
大便稀的呈黄绿色	稀便
拉的差不多就是水	水样便
食欲很差	食欲不振
一晚上不能睡觉	睡眠障碍
今天下午好多次	腹泻
水一样	水样便
今天下午大便好多次	腹泻
拉的会很水	水样便
大便会比之前偏绿	绿便
泡泡偏多	大便粘液
睡觉少	睡眠障碍
互相传染	交叉感染
体温37.8	低热
体温38°五以上	中等度热
身上有汗	出汗
体温一般在38度左右	中等度热
烧39	高热
屁股这两天也长尿布疹	湿疹
下午拉了六七次	腹泻
大便量多	腹泻
大便次数比较多，量比较多	腹泻
先天性幽门肥厚	器官异常
胃翻转	器官异常
免疫功能下降	免疫力低下
粑粑伴有奶瓣状	稀便
出气臭臭	口臭
肠道细菌感染	肠炎
拉的大便全都是水	水样便
不太吃饭	食欲不振
嗓子稍微有点红	咽喉炎
嗓子有个溃疡	口腔溃疡
支管肺炎	支气管肺炎
拉了好几次	腹泻
拉了一次，都很稀	稀便
大便有脓液	大便粘液
拉的时候很响，清的像水	水样便
拉的，一天4次	腹泻
大便里面有白色的东西	大便粘液
肚子是软的	腹胀
拉出来的都是水	水样便
喉咙有点痰	痰
长时间不大便	便秘
三天没大便	便秘
三天才拉的便便	便秘
三天还没拉	便秘
拉稀粑粑	稀便
大便当中有奶块儿	稀便
维生素d中毒	中毒
墨绿色粑粑	绿便
过敏咳嗽	过敏性咳嗽
吃了东西吐	呕吐
吐了三次	呕吐
米糊一样，粘稠的	糊状便
代谢性酸中毒	酸中毒
碱中毒	中毒
吐吐沫	呕吐
拉的只是水一样的，没有泡泡	水样便
拉的基本上都有泡泡	泡沫便
阴囊有积液	鞘膜积液
大便有没有未消化的奶瓣	稀便
红屁股	肛门红肿
咳咳咳咳	咳嗽
稀不稀	稀便
三七度七最高一次三八度五	中等度热
38.5最高，后来37.7	中等度热
热了37.7	低热
扁桃体再次红肿	扁桃体炎
烧三十七度六	低热
37.6度	低热
烧39.5	高热
烧三十八度五	中等度热
出气粗点	粗呼吸音
拉的也很水	水样便
食欲也不好	食欲不振
微烧	发热
大便当中有没有粘液	大便粘液
大便只是有点稀	稀便
鼻子好像有东西塞住	鼻塞
气管有点发炎	气管炎
气管的炎症	支气管炎
拉肚子每天十几次	腹泻
阵咳	咳嗽
嗓子有东西	痰鸣音
呼噜大	打鼾
大便有时候是绿色	绿便
没有抵抗力	免疫力低下
胃不好	胃肠功能紊乱
拉一天三四次	腹泻
睡不着觉	睡眠障碍
早上到现在四次	腹泻
一天4-8次	腹泻
血脓便	脓血便
嘴里有味	口臭
到现在还没大便	便秘
烧，38.3	低热
嗓子里呼噜呼噜的声音	痰鸣音
嗓子里吱吱的声音	喘息
胃肠道消化功能还没有发育成熟	胃肠功能紊乱
奶辫	稀便
呕吐物	呕吐
肺炎症	肺炎
支喘息性气管炎	喘息性支气管炎
食欲不算好	食欲不振
拉的绿色，渣渣样	绿便
嗓子也哑	声音嘶哑
鼻涕稀	鼻流涕
烧37.8度	低热
38.3度	中等度热
浓鼻涕	鼻流涕
鼻涕黄色	鼻流涕
看过敏的药	过敏
抵抗力一下就变差	免疫力低下
气道中的分泌物比较多	气管支气管异物
气道的慢性炎性反应	气管炎
炎性反应	炎症
绿稀屎次数增加	绿便
没胃口	食欲不振
腹部疼	腹痛
肠子发炎	肠炎
不舒服	腹部不适
肠系膜淋巴结炎	淋巴结肠炎
肠子有炎症	肠炎
衣原体或支原体感染	衣原体感染
39度一	高热
疱疹性咽颊炎	咽峡炎
一点精神也没有	精神软
很容易睡觉	嗜睡
不精神	精神软
老是睡觉	嗜睡
脸都憋紫	喘憋
大便，前两天次数有点多。但是不是很稀	腹泻
肚子老是咕噜咕噜的响	肠鸣音
一直没有大便	便秘
吃一次拉一次	腹泻
细菌病毒感染	细菌感染
38°五	中等度热
胃肠道上火	上火
不肯喝水	食欲不振
以前很爱喝水，这个月突然不爱喝了	食欲不振
大便多	腹泻
不爱吃了	食欲不振
不爱吃粥	食欲不振
辅食不爱吃	食欲不振
大便有气味	大便酸臭
尿量有无明显减少	尿量减少
拉的很薄	稀便
拉的有点稀	稀便
喉咙呼吸声	痰鸣音
痰的声音	痰鸣音
弹	痰
手脚还是冷	四肢厥冷
精神也不太好	精神软
困倦，睡眠增多	嗜睡
喘气声比粗	粗糙呼吸音
38度8	中等度热
38度5以上	中等度热
皮肤没有弹性	皮肤弹性差
起皱的	皮肤弹性差
眼眶凹陷	眼窝凹陷
极度乏力	乏力
小便是挺少	尿量减少
凉	四肢厥冷
精神不怎样	精神软
鼻子有点不透气	鼻塞
体温持续39度	高热
拉的就不稀	稀便
肠道消化系统不好	消化不良
大便绿的稀的绿	绿便
大便变绿	绿便
上午大便还没事的，下午就变绿	绿便
皮肤微微发红	发红
咽部有点发白，不是特别红	咽喉不适
拉了5次	腹泻
大便呈黄绿色	绿便
大便只有少量潜血	血便
胀肚子	腹胀
咽喉有充血	咽喉炎
喉咙没有充血	咽喉炎
扁桃体白色小泡	扁桃体炎
化脓点	脓肿
发烧没有超过38度	发热
化脓性扁桃体炎	扁桃体炎
疱疹	咽峡炎
低烧，37.6	低热
昏昏沉沉的睡觉	嗜睡
肚子上面一点点疼	腹痛
肚脐上面一点疼	腹痛
急性喉炎	咽喉炎
肚脐以上疼痛	腹痛
胃肠痉挛	肠痉挛
右下腹疼痛	腹痛
嘴唇嫣红	发红
病毒已感染	病毒感染
精神从今天下午开始不好	精神软
上颚或者咽部有皮疹	皮疹
体温39.7	高热
体温这么高	发热
细菌性的	细菌感染
放屁特别臭	屁
肚子胀胀	腹胀
咳出	咳痰
排气	屁
消化功能紊乱	胃肠功能紊乱
大便还稀	稀便
轮状病毒腹泻	腹泻
脸有点红	发红
轮状病毒的感染	轮状病毒感染
轮状病毒的腹泻	腹泻
大便带奶瓣	稀便
鼻梁两侧和嘴唇上面发青	口周发青
发青	口周发青
增快	呼吸急促
呼吸中枢不稳定	呼吸困难
呼吸节律不规整	呼吸急促
鼻子呼哧呼哧	鼻塞
喘气声	喘息
肥大	腺样体肥大
嗓子难受	咽喉不适
一会醒一会睡	睡眠障碍
嗓子干	干咳
细菌还是病毒感染	细菌感染
